Quality,Q.Score,Alc,Cl,TSO2,VA,FSO2,FA
1,7,9.7,0.038,203.0,0.24,48.0,6.5
1,7,10.9,0.044,179.0,0.3,47.0,6.1
1,6,10.9,0.046,184.0,0.3,46.0,6.1
1,5,10.6,0.02,57.0,0.26,7.0,5.7
1,5,9.0,0.038,241.0,0.425,59.0,6.5
1,5,9.2,0.035,188.0,0.24,46.0,6.6
1,5,8.9,0.034,203.0,0.27,55.0,6.8
1,5,9.6,0.036,179.0,0.27,44.0,6.7
1,6,10.7,0.027,121.0,0.23,36.0,8.2
1,5,8.7,0.045,155.0,0.37,49.0,7.1
1,7,10.8,0.035,96.0,0.19,30.0,6.8
1,6,11.8,0.029,79.0,0.28,18.0,8.1
1,5,10.2,0.045,77.0,0.31,20.0,6.3
1,6,10.8,0.039,107.0,0.21,38.0,7.9
1,6,9.7,0.036,99.0,0.21,24.0,8.5
1,6,11.2,0.037,87.0,0.2,19.0,8.1
1,6,10.9,0.04,114.0,0.255,37.0,6.3
1,6,10.1,0.044,168.0,0.16,53.0,5.6
0,4,9.0,0.058,97.0,0.595,15.0,6.4
1,7,12.0,0.034,80.0,0.34,19.0,6.3
1,6,9.4,0.054,116.0,0.25,23.0,6.9
1,7,11.5,0.043,152.0,0.22,46.0,7.9
1,6,9.9,0.055,135.0,0.18,58.0,7.6
1,5,10.4,0.048,97.0,0.18,41.0,7.2
1,6,9.7,0.049,76.0,0.23,12.0,8.2
1,6,8.9,0.066,198.0,0.24,48.0,7.4
1,7,12.4,0.036,124.0,0.32,38.0,6.1
1,5,9.1,0.055,159.0,0.22,27.0,6.4
1,5,10.6,0.049,85.0,0.36,14.0,6.3
1,5,9.5,0.05,205.0,0.24,64.0,6.7
1,5,9.8,0.051,177.0,0.23,72.0,7.0
1,6,9.6,0.048,197.0,0.27,39.0,8.4
1,7,12.6,0.034,98.0,0.46,25.0,6.7
1,5,9.3,0.055,151.0,0.29,20.0,7.5
1,6,12.7,0.066,133.0,0.3,29.0,7.1
1,6,11.0,0.045,96.0,0.19,17.0,7.9
1,7,11.5,0.038,130.0,0.22,31.0,6.3
1,5,10.2,0.051,173.0,0.27,33.0,7.5
1,6,11.4,0.04,151.0,0.23,50.0,6.9
0,4,12.6,0.044,65.0,0.32,19.0,7.2
1,5,9.4,0.054,170.0,0.23,57.0,5.9
1,6,9.2,0.049,176.0,0.25,41.0,6.4
1,6,9.3,0.048,173.0,0.33,42.0,6.4
1,5,9.2,0.053,183.0,0.34,61.0,7.1
1,6,9.6,0.05,227.0,0.27,64.0,6.9
1,5,9.3,0.043,226.0,0.26,64.0,6.8
1,5,9.3,0.043,230.0,0.29,66.0,6.8
1,6,9.9,0.04,166.0,0.24,49.0,6.7
1,5,11.0,0.038,119.0,0.3,42.0,5.9
2,8,12.7,0.034,109.0,0.53,26.0,6.8
0,4,8.9,0.047,210.0,0.28,54.0,6.5
1,6,8.9,0.052,211.0,0.28,55.0,6.6
1,6,11.4,0.045,123.0,0.28,28.0,6.8
1,5,9.6,0.055,125.0,0.15,34.0,6.6
1,5,8.9,0.052,214.0,0.26,54.0,6.8
1,5,8.8,0.05,204.0,0.32,52.0,7.1
1,5,9.3,0.049,196.0,0.27,55.0,6.8
1,5,9.6,0.05,236.0,0.54,53.0,6.9
1,6,12.0,0.034,134.0,0.26,39.0,6.8
0,4,10.2,0.053,114.0,0.28,36.0,5.8
1,5,8.8,0.042,153.0,0.21,45.0,6.4
1,5,9.2,0.045,126.0,0.16,38.0,7.0
1,5,10.2,0.04,77.0,0.57,15.0,6.8
1,6,9.5,0.048,170.0,0.4,23.0,6.1
1,5,10.5,0.032,68.0,0.245,12.0,5.6
1,7,11.2,0.038,111.0,0.18,35.0,6.8
1,6,9.7,0.051,122.0,0.13,31.0,6.7
1,7,11.1,0.03,105.0,0.25,35.0,6.2
1,5,9.4,0.044,152.0,0.26,55.0,5.8
1,5,11.0,0.036,164.0,0.27,45.0,7.5
1,5,9.4,0.044,167.0,0.28,60.0,5.7
1,5,11.0,0.036,161.0,0.23,43.0,7.5
1,6,10.4,0.046,140.0,0.495,31.0,6.3
1,5,8.7,0.046,145.0,0.24,39.0,7.1
1,6,9.7,0.048,200.0,0.17,41.0,6.4
1,6,9.1,0.041,272.0,0.25,66.0,7.1
0,4,8.9,0.062,142.0,0.64,26.0,6.8
1,6,9.6,0.041,194.0,0.28,38.0,8.3
1,6,9.5,0.039,208.0,0.27,49.0,8.2
1,6,9.0,0.058,194.0,0.23,55.0,7.2
1,6,9.6,0.044,221.0,0.52,54.0,6.8
1,7,11.1,0.037,120.0,0.26,40.0,7.0
1,6,9.6,0.039,159.0,0.25,28.0,6.2
1,5,8.7,0.05,197.0,0.32,49.0,7.3
1,5,10.4,0.031,90.0,0.31,23.0,7.7
1,7,11.4,0.026,100.0,0.21,23.0,7.1
1,6,9.7,0.047,218.5,0.24,64.5,6.8
1,5,8.7,0.043,142.0,0.4,40.0,6.9
1,6,11.3,0.038,249.5,0.18,20.0,6.1
1,7,12.6,0.03,139.0,0.21,26.0,6.8
1,7,10.9,0.031,77.0,0.2,12.0,5.8
1,7,10.9,0.03,76.0,0.19,12.0,5.6
1,5,10.0,0.037,119.0,0.41,18.0,6.1
0,4,10.0,0.053,199.0,0.21,40.0,5.9
0,3,9.8,0.074,197.0,0.26,41.0,8.5
1,6,9.3,0.054,158.0,0.24,37.0,5.8
2,8,9.6,0.04,147.0,0.26,45.0,6.7
1,7,11.0,0.035,97.0,0.35,8.0,6.3
1,6,11.8,0.032,118.0,0.23,23.0,6.4
1,5,10.2,0.036,95.0,0.28,15.0,6.9
1,6,9.6,0.045,231.0,0.29,66.0,7.2
1,6,10.6,0.038,167.0,0.24,22.0,6.2
1,6,9.2,0.053,180.0,0.32,32.0,6.9
1,5,9.7,0.043,149.0,0.58,34.0,5.3
1,6,9.7,0.044,145.0,0.585,34.0,5.3
1,6,9.7,0.045,147.0,0.59,36.0,5.4
1,5,9.7,0.044,147.0,0.6,33.0,5.2
1,5,9.3,0.051,148.0,0.25,44.0,5.8
1,5,9.0,0.057,123.0,0.58,30.0,6.6
1,5,9.5,0.046,234.0,0.29,59.0,7.0
1,6,9.8,0.046,169.0,0.19,51.0,6.6
1,6,9.8,0.044,166.0,0.2,50.0,6.7
1,5,10.6,0.042,60.0,0.26,9.0,7.7
0,4,10.6,0.044,67.0,0.32,14.0,6.8
1,7,12.4,0.036,105.0,0.3,17.0,7.0
2,8,12.6,0.034,112.0,0.24,22.0,7.0
2,8,12.3,0.039,114.0,0.31,36.0,6.1
0,4,10.5,0.047,201.0,0.44,46.0,6.8
1,5,9.3,0.054,196.0,0.34,51.0,6.7
1,5,8.8,0.055,198.0,0.35,46.0,7.1
1,5,8.8,0.056,180.0,0.32,47.0,7.3
1,6,9.7,0.053,190.0,0.28,51.0,6.5
1,7,9.0,0.058,192.0,0.23,49.0,7.2
1,6,10.5,0.041,155.0,0.15,53.0,5.9
1,7,9.8,0.041,157.0,0.28,26.0,6.2
0,3,8.5,0.066,182.0,0.59,34.0,9.1
1,6,9.4,0.046,175.0,0.33,34.0,6.3
1,5,9.4,0.045,169.0,0.39,33.0,8.3
1,6,10.0,0.046,146.0,0.17,65.0,7.5
1,6,10.3,0.043,122.0,0.17,27.0,6.7
1,6,10.5,0.05,74.0,0.2,12.0,8.3
1,6,11.1,0.055,168.0,0.29,42.0,6.0
1,6,9.9,0.057,163.0,0.41,41.0,7.3
1,5,9.9,0.058,163.0,0.43,40.0,7.2
1,6,9.9,0.058,166.0,0.4,41.0,7.3
1,7,10.4,0.036,134.0,0.33,30.0,6.2
1,6,10.4,0.037,148.0,0.31,36.0,6.2
1,7,11.5,0.035,100.0,0.36,16.0,6.1
2,8,12.5,0.032,164.0,0.55,35.0,5.0
1,6,10.0,0.042,149.0,0.25,37.0,7.8
1,6,10.0,0.038,166.0,0.36,51.0,5.7
1,5,10.0,0.04,167.0,0.34,50.0,5.8
1,6,9.1,0.132,127.0,0.28,42.0,6.8
1,6,10.6,0.031,134.0,0.25,34.0,6.8
1,5,10.5,0.031,135.0,0.24,36.0,6.6
1,7,11.5,0.03,133.0,0.3,19.0,5.9
1,6,10.1,0.04,69.0,0.125,10.0,6.1
1,6,10.4,0.031,137.0,0.28,35.0,6.8
1,5,11.4,0.046,207.0,0.41,11.0,8.3
1,6,10.0,0.04,216.0,0.26,38.0,7.9
1,6,10.0,0.039,143.0,0.34,37.0,6.4
1,6,9.6,0.042,195.0,0.28,55.0,6.5
1,5,10.4,0.036,85.0,0.21,33.0,7.2
2,8,12.5,0.03,101.0,0.32,34.0,6.4
1,5,10.6,0.032,135.0,0.24,37.0,6.8
1,6,11.8,0.033,91.0,0.23,16.0,6.3
1,5,9.8,0.038,133.0,0.28,30.0,6.5
1,5,10.8,0.031,80.0,0.26,12.0,5.6
1,6,11.2,0.036,105.0,0.23,15.0,6.3
1,6,9.3,0.045,170.0,0.27,55.0,5.8
1,5,10.4,0.047,139.0,0.26,12.0,5.9
1,7,10.2,0.049,141.0,0.18,49.0,6.6
1,7,9.0,0.045,153.0,0.2,27.0,7.4
1,6,10.0,0.047,129.0,0.24,17.0,8.0
1,6,9.1,0.044,140.0,0.26,30.0,6.4
1,5,10.0,0.053,144.0,0.31,46.0,5.4
1,6,10.0,0.052,145.0,0.29,47.0,5.4
1,6,9.6,0.05,131.0,0.145,33.0,7.1
1,7,11.2,0.031,68.0,0.34,20.0,5.6
1,6,8.8,0.056,155.0,0.19,75.0,6.7
1,6,10.0,0.052,118.0,0.18,38.0,7.8
1,5,10.0,0.054,137.0,0.17,56.0,7.6
1,7,11.4,0.044,146.0,0.12,47.0,6.3
1,7,11.9,0.038,138.0,0.33,32.0,7.3
1,6,9.6,0.071,128.0,0.335,27.0,5.5
1,6,9.6,0.047,245.0,0.4,38.5,5.8
1,6,9.0,0.063,191.0,0.22,48.0,7.3
1,6,9.5,0.05,169.0,0.36,24.0,6.1
1,6,10.4,0.05,152.0,0.2,19.0,10.0
1,6,10.6,0.04,161.0,0.24,43.0,6.9
1,6,10.2,0.047,162.0,0.24,54.0,6.4
1,5,8.9,0.055,84.0,0.365,24.0,7.1
1,6,9.7,0.05,127.0,0.15,40.0,6.8
1,7,11.4,0.037,102.0,0.16,18.0,6.8
1,7,12.3,0.028,113.0,0.26,29.0,6.0
1,6,10.8,0.089,143.0,0.18,40.0,6.0
1,6,9.4,0.053,148.0,0.33,39.0,6.9
1,6,10.6,0.049,178.0,0.29,36.0,7.7
1,5,11.6,0.044,72.0,0.39,26.0,7.1
1,6,9.2,0.048,149.0,0.27,30.0,7.2
1,7,12.5,0.027,89.0,0.33,18.0,5.1
1,7,10.4,0.037,119.0,0.31,12.0,6.4
1,7,10.0,0.045,98.0,0.2,21.0,7.3
1,6,10.0,0.049,155.0,0.32,17.0,5.7
1,6,9.0,0.046,179.0,0.28,48.0,7.2
1,6,9.2,0.051,157.0,0.35,26.0,7.5
1,7,11.3,0.027,125.0,0.36,20.0,6.0
1,7,10.8,0.026,115.0,0.17,24.0,5.0
1,6,9.7,0.047,140.0,0.21,29.0,6.7
1,7,9.3,0.032,181.0,0.3,60.0,7.0
1,5,10.6,0.031,66.0,0.36,13.0,6.5
1,6,10.2,0.031,125.0,0.55,19.0,6.1
1,6,12.2,0.021,69.0,0.24,20.0,7.3
1,5,8.8,0.044,163.0,0.37,62.0,6.8
1,5,11.4,0.031,93.0,0.28,30.0,8.2
1,6,11.4,0.037,107.0,0.2,35.0,6.3
1,5,9.4,0.048,168.0,0.26,52.0,5.9
1,6,11.7,0.032,83.0,0.19,32.0,6.4
1,5,9.2,0.069,108.0,0.35,22.0,6.1
1,5,8.7,0.046,252.0,0.27,55.0,7.1
1,6,12.6,0.035,170.0,0.22,33.0,6.8
1,7,12.8,0.031,99.0,0.28,40.0,5.8
1,5,9.4,0.049,125.0,0.49,13.0,6.9
1,6,10.3,0.044,116.0,0.14,26.0,6.3
1,6,9.6,0.04,140.0,0.28,38.0,7.3
1,5,10.5,0.036,85.0,0.19,32.0,7.2
1,6,9.8,0.041,99.0,0.21,27.0,7.4
1,5,9.0,0.047,210.0,0.26,57.0,6.8
1,6,10.5,0.05,137.0,0.31,33.0,7.4
1,7,12.7,0.03,136.0,0.22,41.0,7.0
1,6,10.4,0.045,222.0,0.21,37.0,7.0
1,6,10.4,0.045,221.0,0.21,37.0,7.0
1,7,10.5,0.047,162.0,0.23,47.0,6.9
1,5,9.4,0.053,194.0,0.29,48.0,6.8
1,5,9.1,0.051,89.0,0.21,20.0,7.8
1,5,9.3,0.056,197.0,0.31,54.0,7.1
1,5,9.8,0.048,84.0,0.34,19.0,6.4
1,7,9.9,0.045,214.0,0.155,73.5,7.4
0,4,9.2,0.108,151.0,0.55,16.0,7.2
2,8,12.1,0.028,104.0,0.23,31.0,7.0
1,7,12.2,0.027,97.0,0.2,24.0,6.9
1,5,9.8,0.042,218.5,0.28,23.0,6.1
2,8,12.4,0.035,186.0,0.16,49.0,6.6
1,7,11.6,0.028,102.0,0.22,24.0,6.7
1,6,10.4,0.033,137.0,0.38,25.0,6.1
2,8,12.9,0.026,126.0,0.25,54.0,6.0
1,6,9.3,0.048,245.0,0.52,54.0,6.6
0,3,11.5,0.038,66.0,0.32,16.0,7.1
1,5,12.4,0.054,156.0,0.28,30.0,5.8
1,6,9.8,0.048,113.0,0.41,24.0,6.5
1,7,10.5,0.052,127.0,0.28,34.0,6.4
1,5,9.1,0.07,174.0,0.6,21.0,7.2
1,5,10.1,0.038,128.0,0.2,34.0,6.1
1,7,10.6,0.042,160.0,0.46,27.0,5.9
1,7,10.5,0.046,113.0,0.27,32.0,6.0
1,6,9.8,0.048,113.0,0.41,24.0,6.4
1,7,12.9,0.022,82.0,0.23,11.0,6.3
1,5,9.5,0.056,111.0,0.21,26.0,7.1
1,6,9.8,0.053,218.5,0.37,31.0,6.0
1,5,9.3,0.047,171.0,0.25,40.0,7.0
1,5,9.5,0.047,162.0,0.25,50.0,5.9
1,6,9.4,0.044,68.0,0.32,15.0,6.8
1,5,8.7,0.047,178.0,0.39,66.0,7.2
1,5,8.9,0.081,126.0,0.21,34.0,6.3
1,6,9.4,0.039,141.0,0.14,54.0,7.0
1,5,9.6,0.047,182.0,0.29,59.0,7.2
1,6,9.3,0.039,158.0,0.37,21.0,8.6
1,5,10.0,0.036,200.0,0.38,34.0,6.5
1,6,12.5,0.023,86.0,0.24,19.0,6.6
1,7,9.6,0.034,132.0,0.17,34.0,7.0
1,6,9.4,0.03,102.0,0.16,30.0,5.5
1,5,9.5,0.029,227.0,0.24,55.0,7.0
1,7,12.4,0.028,105.0,0.28,42.0,7.4
1,6,10.5,0.037,115.0,0.22,29.0,7.0
1,6,9.2,0.073,165.0,0.55,21.0,7.1
1,6,10.4,0.041,164.0,0.22,67.0,6.3
1,5,9.2,0.043,172.0,0.47,31.0,6.7
1,6,10.6,0.047,104.0,0.36,45.0,5.9
1,5,9.5,0.044,137.0,0.25,41.0,5.8
1,6,9.7,0.028,117.0,0.18,36.0,6.2
1,6,9.7,0.025,117.0,0.16,43.0,6.0
1,6,10.7,0.035,90.0,0.34,32.0,6.6
1,6,10.5,0.045,180.0,0.29,53.0,7.4
1,6,8.9,0.047,177.0,0.26,52.0,7.4
1,6,12.1,0.035,70.0,0.28,8.0,7.0
1,7,12.7,0.032,65.0,0.23,12.0,7.1
1,6,9.9,0.039,182.0,0.19,42.0,7.8
1,6,11.4,0.022,158.0,0.19,28.0,6.3
1,6,10.7,0.04,103.0,0.2,27.0,6.8
1,6,12.5,0.025,173.0,0.44,28.0,5.7
0,4,8.6,0.041,189.0,0.4,70.0,7.2
1,6,12.5,0.026,147.0,0.23,43.0,6.8
1,5,10.0,0.04,174.0,0.335,13.0,5.7
1,6,9.5,0.045,200.0,0.28,54.0,7.2
1,6,9.6,0.038,164.0,0.19,51.0,6.8
1,6,9.9,0.038,210.0,0.3,8.0,6.4
1,5,9.9,0.037,210.0,0.3,8.0,6.5
1,6,8.9,0.053,140.0,0.18,46.0,7.8
1,5,8.8,0.09,135.0,0.51,7.0,7.3
1,7,10.0,0.048,170.0,0.24,40.0,6.0
1,6,12.0,0.039,152.0,0.62,55.0,5.9
1,6,10.0,0.041,138.0,0.27,62.0,6.7
1,6,12.1,0.042,167.0,0.34,8.0,7.8
1,6,11.0,0.04,141.0,0.26,31.0,7.3
1,6,11.2,0.025,55.0,0.36,27.0,7.4
1,7,10.3,0.036,115.0,0.28,34.0,7.8
1,6,10.4,0.051,167.0,0.31,28.0,6.1
1,5,9.1,0.055,154.0,0.18,47.0,6.8
1,6,10.4,0.045,154.0,0.15,49.0,7.4
1,6,10.8,0.05,78.0,0.13,20.0,5.9
1,5,11.7,0.048,41.0,0.34,7.0,7.2
1,5,9.8,0.039,143.0,0.19,8.0,7.9
1,6,11.4,0.038,101.0,0.25,22.0,6.9
1,6,11.2,0.033,96.0,0.36,22.0,5.8
1,5,11.4,0.038,72.0,0.35,6.0,5.6
1,6,9.2,0.114,140.0,0.32,24.0,5.9
1,6,12.6,0.034,116.0,0.28,32.0,6.1
1,6,11.2,0.03,112.0,0.19,19.0,5.6
1,6,9.0,0.067,178.0,0.25,53.0,7.4
1,5,9.1,0.047,171.0,0.345,54.0,7.9
1,5,10.4,0.045,61.0,0.24,22.0,6.1
1,6,9.5,0.053,211.0,0.25,41.0,6.8
0,4,11.4,0.04,175.0,0.31,10.0,6.7
1,5,8.7,0.05,192.0,0.46,76.0,7.2
1,6,9.9,0.045,167.0,0.35,14.0,5.5
1,6,9.9,0.036,148.0,0.24,29.0,6.7
1,6,9.0,0.047,162.0,0.28,49.0,6.8
1,6,10.0,0.04,149.0,0.16,41.0,6.4
1,6,9.7,0.039,172.0,0.26,38.0,6.3
1,6,11.8,0.052,87.0,0.22,10.0,7.7
1,7,10.2,0.044,127.0,0.18,30.0,6.5
1,7,9.6,0.05,168.0,0.3,40.0,7.0
1,7,11.3,0.026,93.0,0.25,31.0,9.2
1,7,12.1,0.028,118.0,0.28,32.0,7.8
1,5,9.4,0.046,160.0,0.35,22.0,8.4
1,6,10.4,0.049,137.0,0.41,16.0,6.1
1,5,9.5,0.044,165.0,0.21,53.0,5.9
1,6,12.3,0.047,144.0,0.34,51.0,7.2
1,7,9.9,0.049,150.0,0.21,31.0,6.7
1,5,10.1,0.057,128.0,0.37,39.0,5.9
1,6,9.2,0.063,184.0,0.34,39.0,7.7
1,7,10.4,0.046,135.0,0.3,16.0,7.4
1,5,9.1,0.066,165.0,0.51,38.0,6.8
1,6,10.0,0.059,99.0,0.22,28.0,7.8
1,6,11.5,0.051,37.0,0.35,6.0,7.2
1,5,9.8,0.048,153.0,0.26,59.0,6.0
1,6,9.8,0.05,154.0,0.26,61.0,6.1
1,6,9.4,0.04,179.0,0.28,44.0,6.5
1,5,8.7,0.051,194.0,0.41,77.0,7.4
1,7,11.6,0.038,107.0,0.28,26.0,6.5
1,5,8.8,0.047,181.0,0.34,44.0,6.7
1,7,12.7,0.032,151.0,0.2,49.0,7.2
1,7,11.7,0.035,138.0,0.2,39.0,7.4
1,6,10.2,0.047,185.0,0.22,47.0,8.2
1,6,10.2,0.047,187.0,0.23,47.0,8.2
1,7,12.7,0.033,153.0,0.22,48.0,7.1
1,7,12.3,0.034,134.0,0.38,42.0,6.0
1,5,9.4,0.042,111.0,0.18,25.0,5.7
1,6,10.1,0.056,168.0,0.3,44.0,7.3
1,6,9.7,0.042,81.0,0.24,26.0,7.4
1,7,10.1,0.046,134.0,0.25,32.0,6.6
1,6,8.9,0.049,157.0,0.26,38.0,7.4
1,7,10.8,0.034,136.0,0.32,37.0,6.1
1,7,10.8,0.036,121.0,0.28,42.0,6.9
1,6,9.5,0.04,136.0,0.23,25.0,7.0
1,5,9.1,0.059,148.0,0.31,6.0,7.1
1,6,10.9,0.037,119.0,0.2,48.0,7.3
1,5,9.4,0.043,152.0,0.41,28.0,6.9
1,5,10.8,0.03,131.0,0.45,10.0,6.4
1,5,10.8,0.03,131.0,0.475,9.0,6.4
1,7,10.5,0.051,140.0,0.27,7.0,6.3
1,6,10.8,0.034,127.0,0.29,26.0,7.0
2,8,10.5,0.036,115.0,0.27,31.0,5.9
1,7,11.5,0.036,55.0,0.19,14.0,6.9
1,6,10.8,0.045,106.0,0.24,31.0,7.2
1,6,9.8,0.052,134.0,0.26,34.0,6.3
1,5,9.6,0.049,158.0,0.25,38.0,7.3
1,5,9.5,0.044,161.0,0.28,48.0,6.1
1,6,10.7,0.061,94.0,0.37,12.0,7.4
2,8,12.4,0.037,119.0,0.36,29.0,6.5
1,6,11.1,0.032,95.0,0.24,9.0,7.4
1,5,8.8,0.047,133.0,0.23,37.0,7.5
1,5,8.7,0.045,133.0,0.21,38.0,7.5
1,7,11.7,0.037,101.0,0.32,18.0,7.8
1,6,10.9,0.051,195.0,0.26,52.0,7.8
1,6,10.8,0.051,190.0,0.24,52.0,7.7
1,6,9.6,0.057,135.0,0.19,33.0,7.4
1,5,9.0,0.084,222.0,0.46,59.0,6.5
1,5,9.0,0.083,171.0,0.26,50.0,6.5
1,6,10.4,0.043,141.0,0.32,22.0,5.3
1,5,9.3,0.066,128.0,0.36,27.0,6.0
2,8,11.0,0.039,130.0,0.24,49.0,6.2
0,4,9.1,0.096,177.0,0.56,22.0,7.6
1,6,9.4,0.048,228.0,0.32,31.0,7.0
1,6,10.5,0.036,99.0,0.31,23.0,5.8
1,5,8.8,0.05,144.0,0.23,35.0,7.0
1,6,10.7,0.04,131.0,0.24,16.0,6.9
1,5,9.5,0.045,187.0,0.29,45.0,6.0
1,6,10.9,0.033,150.0,0.17,46.0,6.1
1,6,10.8,0.027,140.0,0.14,34.0,5.9
1,7,10.8,0.037,133.0,0.17,39.0,6.2
1,5,9.2,0.053,148.0,0.28,25.0,7.4
1,5,10.3,0.046,198.0,0.35,48.0,5.6
1,5,10.3,0.046,197.0,0.335,49.0,5.8
1,7,11.0,0.047,127.0,0.235,33.0,5.6
0,4,9.0,0.054,189.0,0.28,34.0,6.1
1,6,10.4,0.046,179.0,0.21,68.0,6.3
1,5,9.5,0.05,163.0,0.24,34.0,6.4
1,5,9.5,0.051,166.0,0.24,32.0,6.4
1,5,9.0,0.058,166.0,0.26,44.0,6.3
0,4,9.5,0.061,151.0,0.33,7.0,6.5
1,5,10.0,0.041,190.0,0.32,34.0,6.0
1,7,9.1,0.067,189.0,0.26,35.0,7.1
